epoch,oft_l1_c_to_pt_router_entropy,oft_l1_c_to_pt_transfer_mean,oft_l1_c_to_pt_transfer_std,oft_l1_c_to_pv_router_entropy,oft_l1_c_to_pv_transfer_mean,oft_l1_c_to_pv_transfer_std,oft_l1_pt_to_c_router_entropy,oft_l1_pt_to_c_transfer_mean,oft_l1_pt_to_c_transfer_std,oft_l1_pt_to_pv_router_entropy,oft_l1_pt_to_pv_transfer_mean,oft_l1_pt_to_pv_transfer_std,oft_l1_pv_to_c_router_entropy,oft_l1_pv_to_c_transfer_mean,oft_l1_pv_to_c_transfer_std,oft_l1_pv_to_pt_router_entropy,oft_l1_pv_to_pt_transfer_mean,oft_l1_pv_to_pt_transfer_std
32,0.6899,0.4632,0.0165,0.5794,0.7266,0.0527,0.5488,0.2405,0.0327,0.6292,0.6658,0.0584,0.4594,0.1738,0.0274,0.6206,0.3125,0.0147
33,0.6915,0.4765,0.0165,0.5502,0.753,0.0561,0.5557,0.2467,0.0344,0.6082,0.6914,0.0636,0.4645,0.1773,0.0289,0.626,0.3195,0.0148
34,0.6922,0.4858,0.0168,0.5256,0.7729,0.0583,0.5627,0.2534,0.0361,0.5902,0.7105,0.0674,0.4704,0.1813,0.0304,0.6284,0.3228,0.0149
35,0.6923,0.4882,0.0173,0.531,0.7683,0.0592,0.5657,0.2563,0.0369,0.5966,0.7031,0.0683,0.4718,0.1822,0.031,0.6273,0.3213,0.0154
36,0.6925,0.5018,0.0182,0.5065,0.7869,0.0607,0.5774,0.2677,0.0382,0.5776,0.7222,0.0713,0.4853,0.1916,0.0323,0.6347,0.3316,0.0164
37,0.692,0.5159,0.0185,0.4925,0.7968,0.0617,0.5897,0.2804,0.0389,0.5673,0.7316,0.0733,0.5003,0.2022,0.0332,0.6422,0.3427,0.0167
38,0.6915,0.5218,0.0189,0.4898,0.7979,0.0639,0.592,0.283,0.0401,0.5668,0.7308,0.0763,0.502,0.2036,0.0342,0.6432,0.3443,0.0171
39,0.6909,0.5268,0.0198,0.4689,0.8119,0.0646,0.6013,0.2935,0.0413,0.5498,0.7458,0.0784,0.5142,0.2128,0.0355,0.6452,0.3475,0.0178
40,0.69,0.5343,0.0204,0.4686,0.8119,0.0655,0.615,0.3099,0.0422,0.5506,0.7446,0.0794,0.5333,0.2281,0.0368,0.6499,0.3553,0.0184
41,0.6886,0.5431,0.0205,0.4692,0.811,0.0672,0.6233,0.3206,0.0423,0.552,0.7425,0.0814,0.5461,0.2388,0.0371,0.6553,0.3647,0.0184
