epoch,oft_l1_c_to_pt_router_entropy,oft_l1_c_to_pt_transfer_mean,oft_l1_c_to_pt_transfer_std,oft_l1_c_to_pv_router_entropy,oft_l1_c_to_pv_transfer_mean,oft_l1_c_to_pv_transfer_std,oft_l1_pt_to_c_router_entropy,oft_l1_pt_to_c_transfer_mean,oft_l1_pt_to_c_transfer_std,oft_l1_pt_to_pv_router_entropy,oft_l1_pt_to_pv_transfer_mean,oft_l1_pt_to_pv_transfer_std,oft_l1_pv_to_c_router_entropy,oft_l1_pv_to_c_transfer_mean,oft_l1_pv_to_c_transfer_std,oft_l1_pv_to_pt_router_entropy,oft_l1_pv_to_pt_transfer_mean,oft_l1_pv_to_pt_transfer_std
32,0.5543,0.7557,0.0253,0.5688,0.2614,0.0472,0.5532,0.7557,0.0326,0.6416,0.351,0.0542,0.4035,0.8598,0.0213,0.2961,0.9125,0.0109
33,0.5316,0.7747,0.0258,0.5411,0.2362,0.0449,0.5332,0.7726,0.0328,0.6254,0.3268,0.0534,0.3705,0.8773,0.0202,0.2597,0.9274,0.01
34,0.501,0.7981,0.026,0.5433,0.2383,0.0462,0.502,0.7964,0.034,0.6298,0.3336,0.0554,0.3294,0.8972,0.0194,0.2211,0.9419,0.0089
35,0.4804,0.8123,0.0274,0.5253,0.2233,0.0446,0.4707,0.8181,0.0336,0.6197,0.3197,0.055,0.2909,0.9142,0.0178,0.1944,0.9511,0.0085
36,0.4646,0.8225,0.0298,0.5108,0.2119,0.0434,0.4398,0.8376,0.033,0.6118,0.3096,0.0547,0.2562,0.9283,0.0163,0.1736,0.9579,0.0085
37,0.4402,0.8377,0.0306,0.5299,0.2273,0.0463,0.4016,0.8596,0.0332,0.6274,0.331,0.0577,0.2197,0.9419,0.0151,0.1503,0.9652,0.0079
38,0.4179,0.8506,0.0312,0.4975,0.2021,0.0436,0.3798,0.8713,0.032,0.6064,0.3037,0.0567,0.1976,0.9497,0.0137,0.1316,0.9707,0.0073
39,0.3934,0.8642,0.031,0.4929,0.199,0.0444,0.3582,0.8822,0.0313,0.6048,0.3024,0.0584,0.1776,0.9564,0.0127,0.1141,0.9755,0.0066
40,0.3765,0.873,0.0313,0.514,0.2152,0.0479,0.3332,0.8941,0.0316,0.6214,0.3244,0.062,0.1574,0.9627,0.0121,0.1018,0.9788,0.0062
41,0.3656,0.8784,0.032,0.5028,0.2067,0.0475,0.3109,0.9043,0.0299,0.6149,0.3162,0.0625,0.1402,0.9679,0.0108,0.0933,0.981,0.0059
42,0.3364,0.8928,0.0294,0.5052,0.2089,0.0492,0.2932,0.9119,0.0298,0.6175,0.3204,0.0648,0.127,0.9717,0.0103,0.0792,0.9845,0.0049
43,0.3204,0.9003,0.0285,0.4885,0.1968,0.0489,0.2795,0.9177,0.0292,0.6072,0.3078,0.0657,0.1166,0.9746,0.0097,0.0706,0.9866,0.0044
44,0.3248,0.8977,0.0329,0.4908,0.199,0.0515,0.2526,0.9286,0.0272,0.6098,0.3123,0.0692,0.1007,0.9789,0.0086,0.0693,0.9868,0.005
45,0.3091,0.9048,0.0317,0.4896,0.1984,0.0525,0.2333,0.9359,0.0264,0.6101,0.3134,0.0708,0.0897,0.9818,0.008,0.0621,0.9885,0.0045
46,0.2924,0.9121,0.0308,0.4659,0.1822,0.0516,0.2222,0.94,0.0257,0.5931,0.2936,0.0713,0.0826,0.9835,0.0075,0.0554,0.99,0.0041
47,0.2776,0.918,0.0319,0.4777,0.1908,0.0549,0.2083,0.9448,0.0259,0.6026,0.3062,0.0754,0.0749,0.9854,0.0073,0.0499,0.9911,0.004
48,0.276,0.9185,0.0325,0.4663,0.183,0.054,0.1955,0.9494,0.0242,0.5962,0.2987,0.0753,0.0681,0.987,0.0065,0.0478,0.9916,0.0039
49,0.2635,0.9237,0.0317,0.4809,0.1936,0.0574,0.1801,0.9545,0.0236,0.606,0.3119,0.079,0.061,0.9886,0.0062,0.0436,0.9925,0.0036
50,0.2518,0.9285,0.0297,0.4349,0.1628,0.0511,0.1686,0.9583,0.0214,0.5735,0.2742,0.0742,0.0554,0.9899,0.0054,0.0398,0.9933,0.0032
51,0.2448,0.931,0.0309,0.4603,0.1795,0.0555,0.159,0.9613,0.0215,0.5935,0.2971,0.0785,0.0511,0.9908,0.0053,0.0373,0.9937,0.0033
52,0.2574,0.9256,0.0343,0.4544,0.1758,0.0557,0.1506,0.9639,0.0208,0.5886,0.2919,0.0793,0.0472,0.9916,0.005,0.0389,0.9934,0.0036
53,0.2274,0.9378,0.0279,0.4428,0.1681,0.0534,0.1466,0.9651,0.0204,0.5816,0.2837,0.0774,0.0453,0.9921,0.0048,0.032,0.9948,0.0027
54,0.2301,0.9364,0.0308,0.4217,0.1553,0.0526,0.1377,0.9679,0.019,0.5654,0.2676,0.0779,0.0415,0.9928,0.0044,0.0319,0.9948,0.0029
55,0.248,0.9288,0.0369,0.4488,0.1728,0.058,0.1368,0.9681,0.0196,0.5866,0.2915,0.0835,0.0408,0.993,0.0045,0.0345,0.9943,0.0036
56,0.2345,0.9342,0.0349,0.4568,0.1783,0.0598,0.1373,0.9678,0.0205,0.593,0.2996,0.0854,0.0405,0.993,0.0046,0.0312,0.9949,0.0032
57,0.2281,0.9366,0.0344,0.396,0.1407,0.051,0.1251,0.9715,0.018,0.5456,0.2494,0.0779,0.0359,0.994,0.0039,0.0296,0.9952,0.0031
58,0.2373,0.9328,0.0374,0.4124,0.1505,0.0543,0.1214,0.9725,0.0181,0.5596,0.2635,0.0815,0.0344,0.9943,0.0039,0.0305,0.995,0.0034
59,0.2506,0.9271,0.0415,0.4531,0.176,0.0602,0.1241,0.9716,0.0198,0.5923,0.2992,0.0867,0.0352,0.9941,0.0043,0.0322,0.9947,0.0038
60,0.2525,0.9258,0.0447,0.4161,0.153,0.0562,0.1208,0.9726,0.0189,0.566,0.2708,0.0848,0.0337,0.9944,0.004,0.0322,0.9947,0.004
61,0.2298,0.9351,0.0397,0.4093,0.1489,0.0553,0.1155,0.9741,0.0183,0.5617,0.2666,0.0845,0.0318,0.9948,0.0038,0.0278,0.9955,0.0034
62,0.232,0.9345,0.0386,0.4046,0.1463,0.055,0.1141,0.9745,0.0181,0.5595,0.2645,0.0845,0.0312,0.9949,0.0038,0.0275,0.9956,0.0032
63,0.2537,0.9247,0.048,0.4404,0.1687,0.0624,0.1101,0.9755,0.0184,0.5883,0.2974,0.0923,0.0299,0.9951,0.0038,0.0308,0.9949,0.0042
64,0.2524,0.925,0.0487,0.3983,0.1432,0.0567,0.109,0.9759,0.0176,0.5564,0.2631,0.0882,0.0291,0.9953,0.0036,0.0299,0.9951,0.004
65,0.2278,0.9355,0.0415,0.375,0.1303,0.0532,0.1053,0.9769,0.017,0.5373,0.2449,0.0854,0.0277,0.9955,0.0034,0.0255,0.9959,0.0033
66,0.2234,0.9373,0.0407,0.4028,0.146,0.0581,0.1006,0.9782,0.0166,0.562,0.2694,0.0905,0.0263,0.9958,0.0033,0.0246,0.9961,0.0032
67,0.2413,0.9296,0.0465,0.3886,0.1383,0.0577,0.1022,0.9777,0.0167,0.5521,0.2604,0.0913,0.0265,0.9958,0.0033,0.027,0.9956,0.0037
68,0.2404,0.9292,0.0506,0.3985,0.1443,0.0607,0.1065,0.9765,0.0175,0.5613,0.2709,0.0952,0.0276,0.9955,0.0035,0.0267,0.9957,0.004
69,0.2294,0.9341,0.0459,0.388,0.1383,0.0591,0.1003,0.9783,0.0161,0.5538,0.2633,0.0941,0.0257,0.9959,0.0031,0.0247,0.9961,0.0035
70,0.2184,0.9386,0.0431,0.3814,0.1347,0.0585,0.0945,0.9798,0.0152,0.5496,0.2594,0.0942,0.0239,0.9963,0.0029,0.0228,0.9964,0.0032
71,0.217,0.9388,0.0447,0.3765,0.1322,0.0585,0.0943,0.9799,0.0154,0.5453,0.2559,0.0948,0.0238,0.9963,0.0029,0.0226,0.9964,0.0034
72,0.2287,0.9335,0.0498,0.3658,0.1268,0.0586,0.0927,0.9803,0.0155,0.5354,0.2476,0.0959,0.0233,0.9964,0.0029,0.0242,0.9961,0.0037
73,0.225,0.9347,0.0508,0.3726,0.1308,0.061,0.0924,0.9803,0.0157,0.5425,0.2553,0.0991,0.0232,0.9964,0.003,0.0234,0.9963,0.0038
74,0.2162,0.9387,0.0462,0.3696,0.1292,0.0607,0.0884,0.9814,0.0145,0.5415,0.2545,0.0993,0.0219,0.9966,0.0027,0.022,0.9966,0.0033
75,0.2044,0.943,0.0454,0.38,0.1352,0.0633,0.0872,0.9817,0.0144,0.5507,0.2642,0.1022,0.0216,0.9967,0.0027,0.0203,0.9969,0.0033
76,0.2247,0.9348,0.0506,0.338,0.1134,0.0585,0.0849,0.9824,0.0134,0.5144,0.232,0.0994,0.0209,0.9968,0.0025,0.0228,0.9964,0.0037
77,0.2277,0.9324,0.057,0.4081,0.1522,0.0705,0.0838,0.9826,0.0141,0.5743,0.2916,0.1098,0.0207,0.9968,0.0026,0.0236,0.9962,0.0043
78,0.2259,0.9335,0.0548,0.3169,0.1035,0.0566,0.0898,0.9811,0.0145,0.4953,0.2174,0.0994,0.0219,0.9966,0.0027,0.0223,0.9964,0.0039
79,0.2474,0.9245,0.0595,0.3431,0.1166,0.0618,0.0787,0.984,0.0123,0.5232,0.2418,0.1056,0.0188,0.9972,0.0022,0.0253,0.9959,0.0044
80,0.2353,0.9294,0.0579,0.3878,0.141,0.0699,0.0785,0.9839,0.0131,0.5619,0.2807,0.1131,0.0187,0.9972,0.0023,0.0235,0.9962,0.0042
81,0.2334,0.9292,0.0615,0.3502,0.1209,0.0654,0.0841,0.9825,0.0144,0.5302,0.2503,0.1108,0.0199,0.997,0.0026,0.0231,0.9962,0.0044
82,0.2661,0.9147,0.0693,0.3406,0.1164,0.0658,0.0817,0.9831,0.0138,0.5261,0.2478,0.113,0.0192,0.9971,0.0024,0.0275,0.9954,0.0051
83,0.2597,0.9174,0.0686,0.3334,0.1128,0.065,0.0805,0.9834,0.0137,0.5203,0.2427,0.1126,0.0188,0.9972,0.0024,0.0264,0.9956,0.005
84,0.2288,0.9311,0.0608,0.3618,0.1279,0.071,0.0835,0.9826,0.0147,0.5447,0.2672,0.1186,0.0196,0.997,0.0026,0.0217,0.9965,0.0043
85,0.2378,0.9269,0.0644,0.3508,0.1224,0.0701,0.0835,0.9826,0.0143,0.5348,0.2583,0.1189,0.0194,0.9971,0.0025,0.0228,0.9963,0.0046
86,0.2566,0.9178,0.072,0.2943,0.0943,0.0593,0.0784,0.984,0.0131,0.4806,0.2105,0.1083,0.018,0.9973,0.0023,0.0253,0.9958,0.0052
87,0.2548,0.9187,0.0716,0.2948,0.0948,0.0604,0.0812,0.9832,0.0139,0.482,0.2125,0.1105,0.0188,0.9972,0.0024,0.0244,0.996,0.0051
88,0.251,0.9205,0.0704,0.2976,0.0965,0.0627,0.083,0.9827,0.0143,0.4864,0.2175,0.1145,0.0191,0.9971,0.0025,0.0239,0.9961,0.0049
89,0.2376,0.9265,0.0667,0.3716,0.1355,0.0797,0.084,0.9824,0.0149,0.5566,0.2872,0.1323,0.0194,0.9971,0.0026,0.022,0.9964,0.0046
90,0.2252,0.9326,0.0599,0.3431,0.1195,0.0729,0.081,0.9832,0.0143,0.533,0.2607,0.1257,0.0184,0.9972,0.0024,0.0198,0.9969,0.0039
91,0.2412,0.9257,0.0643,0.2885,0.0923,0.061,0.0769,0.9842,0.0137,0.481,0.2135,0.1141,0.0172,0.9974,0.0023,0.0216,0.9965,0.0042
92,0.2522,0.9198,0.071,0.2883,0.0925,0.0623,0.0803,0.9833,0.0149,0.4807,0.2141,0.1159,0.0179,0.9973,0.0025,0.023,0.9962,0.0047
93,0.2694,0.911,0.0787,0.317,0.1066,0.0691,0.0771,0.9841,0.0145,0.5095,0.24,0.1241,0.0171,0.9974,0.0024,0.0254,0.9957,0.0054
94,0.2577,0.9166,0.0751,0.3215,0.1091,0.0708,0.0763,0.9844,0.0139,0.514,0.2451,0.1268,0.0168,0.9975,0.0023,0.0236,0.9961,0.0051
95,0.2505,0.9194,0.0749,0.2971,0.0973,0.0668,0.0748,0.9848,0.0133,0.4905,0.2251,0.1236,0.0163,0.9976,0.0022,0.0226,0.9963,0.0051
96,0.2482,0.9207,0.0739,0.3102,0.1041,0.0707,0.0837,0.9824,0.0155,0.5041,0.2383,0.1287,0.0184,0.9972,0.0026,0.0219,0.9964,0.0049
97,0.2798,0.9044,0.0873,0.3136,0.1059,0.0722,0.0771,0.984,0.0153,0.5075,0.2417,0.1302,0.0169,0.9975,0.0025,0.0268,0.9954,0.0064
98,0.2466,0.921,0.075,0.257,0.0794,0.0593,0.0816,0.9829,0.0158,0.4461,0.1908,0.1155,0.0178,0.9973,0.0026,0.0213,0.9965,0.0049
99,0.2651,0.9118,0.0826,0.2706,0.0855,0.0627,0.0737,0.9849,0.0146,0.4622,0.2032,0.1197,0.0159,0.9976,0.0024,0.0239,0.996,0.0057
100,0.2811,0.9034,0.0892,0.3138,0.1063,0.0732,0.0756,0.9843,0.0158,0.5075,0.2431,0.1323,0.0164,0.9975,0.0026,0.0261,0.9955,0.0065
101,0.2722,0.9072,0.0883,0.3039,0.1021,0.0735,0.0812,0.9829,0.017,0.4984,0.2366,0.1337,0.0176,0.9973,0.0028,0.0246,0.9958,0.0062
