receiver_i,label_i,indegree,correct_joint,CE_joint,CE_text_all,CE_visual_all,CE_null_all,CE_exact_os,CE_first_os,CE_second_os,dCE_text_all,dCE_visual_all,dCE_null_all,dCE_exact_os,dCE_first_os,dCE_second_os,G_local_exact,G_local_first,G_global_exact,G_global_first,G_global_second
10890,13,3,True,0.02937115,0.09508736,0.02934047,0.08950022,0.02731803,0.02731803,0.02731803,0.06571622,-0.00003068,0.06012907,-0.00205312,-0.00205312,-0.00205312,0.00287244,0.00287244,0.00205312,0.00205312,0.00205312
12690,14,1,True,0.31335881,0.41859910,0.27885652,0.42767090,0.27885652,0.31335881,0.27885652,0.10524029,-0.03450230,0.11431208,-0.03450230,0.00000000,-0.03450230,0.03450218,0.00000000,0.03450230,0.00000000,0.03450230
3390,5,1,True,0.02671002,0.10022459,0.13991491,0.33930868,0.02671002,0.02671002,0.10022459,0.07351457,0.11320490,0.31259868,0.00000000,0.00000000,0.07351457,0.00000000,0.00000000,0.00000000,0.00000000,-0.07351457
4840,7,31,True,0.00045265,0.11830191,0.00141068,0.11636296,0.00031812,0.00031812,0.00031812,0.11784926,0.00095803,0.11591031,-0.00013454,-0.00013454,-0.00013454,0.00015872,0.00015872,0.00013454,0.00013454,0.00013454
5203,8,1,True,0.00877075,0.01384829,0.00890002,0.01403698,0.00877075,0.00877075,0.00877075,0.00507754,0.00012927,0.00526622,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
9357,12,19,True,0.08952725,0.53247237,0.48452365,1.89468205,0.08919802,0.08919802,0.08919802,0.44294512,0.39499640,1.80515480,-0.00032923,-0.00032923,-0.00032923,0.00032880,0.00032880,0.00032923,0.00032923,0.00032923
9712,12,1,True,1.15738654,0.43613836,1.74379849,0.52386564,0.43613836,0.43613836,0.43613836,-0.72124815,0.58641195,-0.63352090,-0.72124815,-0.72124815,-0.72124815,0.72124892,0.72124892,0.72124815,0.72124815,0.72124815
95,1,4,True,0.00000596,0.00034291,0.00001502,0.00082137,0.00000596,0.00000596,0.00000978,0.00033695,0.00000906,0.00081541,0.00000000,0.00000000,0.00000381,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000381
5913,7,44,True,0.00062267,0.21698824,0.00043883,0.05469429,0.00021253,0.00021253,0.00021253,0.21636556,-0.00018384,0.05407162,-0.00041015,-0.00041015,-0.00041015,0.00107870,0.00107870,0.00041015,0.00041015,0.00041015
7338,9,1,False,1.58502984,1.11661661,1.81429529,1.30933821,1.11661661,1.11661661,1.11661661,-0.46841323,0.22926545,-0.27569163,-0.46841323,-0.46841323,-0.46841323,0.46841228,0.46841228,0.46841323,0.46841323,0.46841323
1206,1,1,True,0.00252012,0.00387560,0.00339278,0.00450833,0.00252012,0.00252012,0.00252012,0.00135548,0.00087265,0.00198821,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5928,7,1,True,0.33624357,0.47652522,0.34089097,0.48226565,0.33624357,0.33624357,0.33624357,0.14028165,0.00464740,0.14602208,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5234,8,1,True,0.46990728,0.65747249,0.46661252,0.65313363,0.46661252,0.46661252,0.46661252,0.18756521,-0.00329477,0.18322635,-0.00329477,-0.00329477,-0.00329477,0.00329250,0.00329250,0.00329477,0.00329477,0.00329477
15950,17,5,True,0.31720555,0.76806980,0.49412388,1.00621939,0.20990446,0.20990446,0.20990446,0.45086426,0.17691833,0.68901384,-0.10730109,-0.10730109,-0.10730109,0.12077948,0.12077948,0.10730109,0.10730109,0.10730109
9220,12,19,True,0.06664190,0.23391800,0.26750213,0.78603375,0.06156473,0.06156473,0.06156473,0.16727610,0.20086023,0.71939182,-0.00507717,-0.00507717,-0.00507717,0.00514530,0.00514530,0.00507717,0.00507717,0.00507717
6218,8,15,True,0.09291502,3.49581552,0.03306017,2.13835740,0.02930169,0.02930169,0.03206493,3.40290046,-0.05985485,2.04544234,-0.06361333,-0.06361333,-0.06085009,0.12295228,0.12295228,0.06361333,0.06361333,0.06085009
3772,3,17,True,0.31508079,0.02825785,4.50215816,1.88756144,0.01627246,0.01627246,0.01627246,-0.28682294,4.18707752,1.57248068,-0.29880834,-0.29880834,-0.29880834,0.76094902,0.76094902,0.29880834,0.29880834,0.29880834
8685,12,6,True,0.07516637,0.24665347,0.08527570,0.26517683,0.07175100,0.07175100,0.07175100,0.17148709,0.01010934,0.19001046,-0.00341537,-0.00341537,-0.00341537,0.00353162,0.00353162,0.00341537,0.00341537,0.00341537
5668,8,77,True,0.24537750,5.88166523,0.02184088,0.31375861,0.00154055,0.00154055,0.00154055,5.63628769,-0.22353661,0.06838112,-0.24383695,-0.24383695,-0.24383695,1.64329731,1.64329720,0.24383695,0.24383695,0.24383695
