dataset,train_seed,analysis_seed,receiver_i,neighbor_j,neighbor_k,edge_id_j,edge_id_k,alpha_j,alpha_k,norm_deltaV_j,norm_deltaV_k,label_i,S_exact_real,S_norm_real,S_second_real,Q_best_real,Q_text_sh,Q_visual_sh,Q_joint_sh,S_exact_sh,S_norm_sh,S_second_sh,Q_best_sh,receiver_correct_full
Grocery,42,12345,8288,7585,8080,53470,57338,0.0555555559694767,0.02749287150800228,0.6371960639953613,0.25100621581077576,9,0.00010957848280668259,0.020884869620203972,0.00011727464152440944,0.0026781782507896423,0.0008684145286679268,0.0018390873447060585,0.0026350226253271103,-7.2479248046875e-05,-0.013566454872488976,-8.830645004136048e-05,0.0026350226253271103,True
Grocery,42,12345,8288,8080,7585,57338,53470,0.02749287150800228,0.0555555559694767,0.25100621581077576,0.6371960639953613,9,-2.3881904780864716e-05,-0.005872250534594059,-2.629304038095047e-05,0.002021508291363716,0.00021026097238063812,0.0019710641354322433,0.0022020824253559113,2.0757317543029785e-05,0.004735419061034918,2.08903883721963e-05,0.0022020824253559113,True
Grocery,42,12345,10736,9750,9049,76090,67516,0.05986843630671501,0.0471404530107975,0.421543687582016,0.45653197169303894,12,-1.2197531759738922e-05,-0.0037817475385963917,-1.6261648308151574e-05,0.001606580801308155,0.0011075995862483978,0.00045519229024648666,0.0015531331300735474,-9.658746421337128e-06,-0.0030997907742857933,-1.2738780593689607e-05,0.0015531331300735474,True
Grocery,42,12345,10736,9049,9750,67516,76090,0.0471404530107975,0.05986843630671501,0.45653197169303894,0.421543687582016,12,1.387670636177063e-07,4.4675118260784075e-05,-1.6601487615090869e-06,0.0015531331300735474,0.0011089593172073364,0.0004976633936166763,0.0016054017469286919,-1.2209638953208923e-06,-0.00038012166623957455,-3.3699686591986164e-06,0.0016054017469286919,True
Grocery,42,12345,12871,4854,1592,30670,6630,0.04225771129131317,0.1428571492433548,0.46593350172042847,0.9026982188224792,14,-0.0002096518874168396,-0.0144706005230546,-0.00019217944077491202,0.0,-0.002887725830078125,0.021589189767837524,0.0193018838763237,0.0006004199385643005,0.01371485274285078,0.0006629210309024001,0.021589189767837524,True
Grocery,42,12345,12871,12971,1592,108810,6630,0.18898224830627441,0.1428571492433548,1.4787942171096802,0.9026982188224792,14,-0.013377480208873749,-0.06741315126419067,-0.025758046930180974,0.09253135323524475,0.017327219247817993,0.027834057807922363,0.03951682895421982,-0.005644448101520538,-0.06665769964456558,-0.008706813652000676,0.03951682895421982,True
Grocery,42,12345,12871,1592,12971,6630,108810,0.1428571492433548,0.18898224830627441,0.9026982188224792,1.4787942171096802,14,-0.001155845820903778,-0.022819150239229202,-0.0016145766726493455,0.024748295545578003,0.003748178482055664,0.06981644034385681,0.07121928036212921,-0.002345338463783264,-0.016198888421058655,-0.004241435702615429,0.07121928036212921,True
Grocery,42,12345,799,567,66,2472,260,0.1178511381149292,0.1767766922712326,1.0201165676116943,1.7422226667404175,1,2.2046355297788978e-05,0.04603166505694389,3.092344113169609e-05,0.00024202783242799342,-1.429201802238822e-05,0.000662657548673451,0.0006762440898455679,2.7878559194505215e-05,0.020601894706487656,4.49057030702521e-05,0.0006762440898455679,True
Grocery,42,12345,799,66,567,260,2472,0.1767766922712326,0.1178511381149292,1.7422226667404175,1.0201165676116943,1,2.7165282517671585e-05,0.02006421610713005,3.3574276047313996e-05,0.0006789834005758166,-7.029942935332656e-06,0.00022784507018513978,0.0002434576745145023,2.2642547264695168e-05,0.04733540862798691,2.9536518431309946e-05,0.0002434576745145023,True
Grocery,42,12345,799,161,567,756,2472,0.0857492983341217,0.1178511381149292,0.4837181866168976,1.0201165676116943,1,5.36322477273643e-06,0.034802425652742386,5.929633017035698e-06,7.972907042130828e-05,-8.102331776171923e-06,0.0002357111661694944,0.00024238528567366302,1.4776451280340552e-05,0.030391164124011993,2.16335706405505e-05,0.00024238528567366302,True
Grocery,42,12345,4483,12131,12134,102428,102468,0.13363061845302582,0.15811388194561005,1.7384982109069824,1.6276144981384277,8,0.002834796905517578,0.0008019722299650311,0.004695031002059924,0.0,-0.4924006462097168,-0.5033845901489258,-0.9993062019348145,-0.003520965576171875,-0.0017648141365498304,-0.006625924009101144,0.0,False
Grocery,42,12345,4483,10938,12131,90491,102428,0.0800640806555748,0.13363061845302582,0.7645302414894104,1.7384982109069824,8,-0.0005083084106445312,-0.0005588056519627571,-0.0007208822231122847,0.0,-0.27154016494750977,-1.2705974578857422,-1.53875732421875,0.003380298614501953,0.0010971807641908526,0.0065362504683800305,0.0,False
Grocery,42,12345,4483,12134,12131,102468,102428,0.15811388194561005,0.13363061845302582,1.6276144981384277,1.7384982109069824,8,-0.004731655120849609,-0.0021768694277852774,-0.00972710045206493,0.0,-0.5901188850402832,-1.270341396331787,-1.8573360443115234,0.003124237060546875,0.0008403465035371482,0.004208173822739051,0.0,False
Grocery,42,12345,1142,5568,6008,36831,40935,0.10660035908222198,0.0883883461356163,1.141340970993042,1.3856532573699951,0,0.0142364501953125,0.009711633436381817,0.01777059301059225,0.16117501258850098,0.1776413917541504,0.29505228996276855,0.47046375274658203,-0.002229928970336914,-0.002364323241636157,-0.0014357654741429492,0.47046375274658203,False
Grocery,42,12345,1142,6008,5568,40935,36831,0.0883883461356163,0.10660035908222198,1.3856532573699951,1.141340970993042,0,-0.002550840377807617,-0.0025821670424193144,-0.0016446229796053813,0.4926586151123047,0.18147099018096924,-0.7416551113128662,-0.5443696975708008,0.01581442356109619,0.010776469483971596,0.0195968090979305,0.18147099018096924,False
Grocery,42,12345,3916,4449,5390,25802,35319,0.044901326298713684,0.03892494738101959,0.4779052436351776,0.45531928539276123,7,-0.00028266943991184235,-0.01122951041907072,-0.0003377152758619155,0.012444669380784035,0.0010032989084720612,0.01037561148405075,0.011133844032883644,-0.0002450663596391678,-0.010885663330554962,-0.00028837325716630667,0.011133844032883644,True
Grocery,42,12345,3916,5390,4449,35319,25802,0.03892494738101959,0.044901326298713684,0.45531928539276123,0.4779052436351776,7,1.8812716007232666e-07,8.98639700608328e-06,2.594260813795768e-06,0.010467419400811195,0.00034949183464050293,0.011416196823120117,0.011753259226679802,-1.2429431080818176e-05,-0.0005284856306388974,-1.1550752612397496e-05,0.011753259226679802,True
Grocery,42,12345,11331,15514,11226,133505,93775,0.07216878235340118,0.06225728243589401,0.5448575615882874,0.46442145109176636,13,7.698684930801392e-05,0.014757542870938778,7.312329465349607e-05,0.002323552966117859,0.0026595070958137512,0.011475890874862671,0.013876430690288544,-0.0002589672803878784,-0.009244922548532486,-0.0002873662490620163,0.013876430690288544,True
Grocery,42,12345,11331,11226,11254,93775,94053,0.06225728243589401,0.054554469883441925,0.46442145109176636,0.4604461193084717,13,0.000380098819732666,0.017235103994607925,0.00037668269256463903,0.010836824774742126,-0.0008403956890106201,0.017838507890701294,0.01730317622423172,0.00030506402254104614,0.00847821868956089,0.0002699024502644405,0.017838507890701294,True
Grocery,42,12345,11331,11254,11226,94053,93775,0.054554469883441925,0.06225728243589401,0.4604461193084717,0.46442145109176636,13,7.61374831199646e-05,0.0021018581464886665,4.571650041862094e-05,0.018150009214878082,-0.00014486908912658691,0.01098969578742981,0.011072054505348206,0.0002272278070449829,0.010232431814074516,0.00023120224010239048,0.011072054505348206,True
Grocery,42,12345,557,1691,1203,7106,5058,0.20412413775920868,0.15811388194561005,1.4849950075149536,0.9367944598197937,1,0.0004921916406601667,0.06546995043754578,0.0006195576970267807,0.003927609417587519,0.00026414799503982067,3.7289923056960106e-05,0.00045208726078271866,0.00015064934268593788,0.19992344081401825,0.00016519799911918816,0.00045208726078271866,True
Grocery,42,12345,557,1203,1691,5058,7106,0.15811388194561005,0.20412413775920868,0.9367944598197937,1.4849950075149536,1,8.224882185459137e-05,0.08453221619129181,8.691216047624149e-05,0.0005276133306324482,0.00024078227579593658,0.003823863109573722,0.0042457859963178635,0.000181140610948205,0.02179674804210663,0.00026080486556098,0.0042457859963178635,True
Grocery,42,12345,15843,16916,16419,141013,138227,0.027472112327814102,0.18257418274879456,0.29735836386680603,1.4284316301345825,17,-0.0003647655248641968,-0.009682410396635532,-0.0004004385098219567,0.01865411549806595,0.004372656345367432,0.08335258066654205,0.08630252629518509,-0.0014227107167243958,-0.008175193332135677,-0.0017007198736001686,0.08630252629518509,True
Grocery,42,12345,15843,16419,16916,138227,141013,0.18257418274879456,0.027472112327814102,1.4284316301345825,0.29735836386680603,17,-0.005772948265075684,-0.027899766340851784,-0.007627661286291679,0.10057223588228226,0.014718875288963318,0.017188750207424164,0.03005816787481308,-0.0018494576215744019,-0.029846422374248505,-0.0022613638541023116,0.03005816787481308,True
Grocery,42,12345,2298,3089,2099,14045,9033,0.15430335700511932,0.18898224830627441,0.791073739528656,0.9518614411354065,5,-0.00020909623708575964,-0.08377241343259811,-0.0003279611220333705,0.001143448636867106,0.000587860238738358,-8.915492799133062e-05,0.0005504612345248461,5.175592377781868e-05,0.0421641506254673,6.504790314736381e-05,0.000587860238738358,True
Grocery,42,12345,2298,2099,3089,9033,14045,0.18898224830627441,0.15430335700511932,0.9518614411354065,0.791073739528656,5,5.045090802013874e-05,0.04459057375788689,6.266353462239069e-05,0.000540482229553163,0.0007833973504602909,0.00048720045015215874,0.0010781335877254605,-0.00019246421288698912,-0.0819435566663742,-0.00029864773215845385,0.0010781335877254605,True
