dataset,train_seed,analysis_seed,receiver_i,neighbor_j,edge_id,label_i,label_j,degree_i,degree_j,edge_norm,receiver_degree_bin,receiver_correct_full,full_confidence,sim_text,sim_visual,L_null,L_text,L_visual,L_joint,Q_text,Q_visual,Q_joint,S_exact,S_norm,Q_text_1,Q_visual_1,Q_joint_1,Q_text_2,Q_visual_2,Q_joint_2,S_second,best_exact,best_first,best_second
Grocery,42,12345,2523,8905,66059,5,12,17,44,0.03656361997127533,3,True,0.9133026599884033,0.8112200498580933,0.6317101716995239,0.08915821462869644,0.09022330492734909,0.08964954316616058,0.09068797528743744,-0.001065090298652649,-0.0004913285374641418,-0.0015297606587409973,2.6658177375793457e-05,0.008637893944978714,-0.0010506868627902957,-0.00041811346435556313,-0.0014688003271458583,-0.001065019506066731,-0.0004887353916542892,-0.0015279180216193093,2.5836876101710928e-05,0,0,0
Grocery,42,12345,10330,2183,9377,12,5,110,3,0.05504819005727768,3,True,0.9996986389160156,0.614795446395874,0.5665719509124756,0.00029869386344216764,0.0003274143091402948,0.00027497802511788905,0.0003014348621945828,-2.872044569812715e-05,2.3715838324278593e-05,-2.74099875241518e-06,2.2636086214333773e-06,0.041016850620508194,-2.7396466697796335e-05,2.5018571494446984e-05,-2.377895203349369e-06,-2.869043485475211e-05,2.371623852357024e-05,-2.6168054647980656e-06,2.3573908663838027e-06,2,2,2
Grocery,42,12345,16865,13230,111799,18,15,3,60,0.07453560084104538,1,True,0.7970430850982666,0.7489297986030579,0.6466013193130493,0.2870905101299286,0.2920040786266327,0.22271811962127686,0.22684648633003235,-0.0049135684967041016,0.06437239050865173,0.06024402379989624,0.0007852017879486084,0.00606193020939827,-0.004808563431184075,0.0742876068861591,0.06947904345497502,-0.004913280722325582,0.06364708768030097,0.05960330021980525,0.0008694932618298623,2,2,2
Grocery,42,12345,9610,5200,33798,12,7,8,16,0.0883883461356163,2,True,0.9215595126152039,0.8200591206550598,0.8236700296401978,0.0691734030842781,0.07119195908308029,0.0797492265701294,0.08168801665306091,-0.002018555998802185,-0.010575823485851288,-0.012514613568782806,7.97659158706665e-05,0.0031767855398356915,-0.0019284441557562522,-0.008291016225498096,-0.010219460381254354,-0.002017785975671149,-0.010384702776701685,-0.0123799244509105,2.2564301462333486e-05,0,0,0
Grocery,42,12345,303,409,1793,1,1,1,4,0.5,0,True,0.7839927077293396,0.964923620223999,0.7460741996765137,0.1092444658279419,0.1349448561668396,0.22838614881038666,0.24335560202598572,-0.025700390338897705,-0.11914168298244476,-0.13411113619804382,0.010730937123298645,0.03846859559416771,0.006769379853721932,-0.020050907180108393,-0.013281527326386433,-0.02939632804521236,-0.08966608052458881,-0.10704719603467722,0.012015212535123956,0,1,0
Grocery,42,12345,4093,10768,87918,8,13,1,378,0.05143444985151291,0,True,0.962182343006134,0.8634920120239258,0.6756460666656494,0.037228357046842575,0.04143482819199562,0.034483399242162704,0.03855127468705177,-0.004206471145153046,0.0027449578046798706,-0.001322917640209198,0.00013859570026397705,0.016750026494264603,-0.003906961617308213,0.0031761372875601605,-0.0007308243297480529,-0.004189241526459184,0.0027428543085547923,-0.0012475099286537155,0.00019887728925067644,2,2,2
Grocery,42,12345,8131,6755,46405,10,10,31,13,0.04981354996562004,3,True,0.9999963045120239,0.9579257965087891,0.9861688017845154,5.125986263010418e-06,4.6491513785440475e-06,4.172316494077677e-06,3.6954811548639555e-06,4.7683488446637057e-07,9.536697689327411e-07,1.4305051081464626e-06,4.547473508864641e-13,1.583928366244436e-07,5.21796956246765e-07,1.1244019548046655e-06,1.646198911051431e-06,4.951391182215717e-07,1.0010614960519542e-06,1.383237586709732e-06,-1.1296302756379386e-07,3,3,3
Grocery,42,12345,6303,5314,34729,8,8,16,24,0.05103103443980217,3,True,0.9745513796806335,0.987540602684021,0.8819356560707092,0.02926637977361679,0.029697764664888382,0.02544071152806282,0.02577802538871765,-0.0004313848912715912,0.0038256682455539703,0.0034883543848991394,9.407103061676025e-05,0.012145379558205605,-0.00040609515465765363,0.0041704895907119545,0.0037643944360543015,-0.0004308078944098207,0.003801098813055574,0.0034721831960460295,0.00010189227740027606,2,2,2
Grocery,42,12345,1308,779,3329,1,1,2,5,0.3162277638912201,1,True,0.9975886344909668,0.9937949776649475,0.8840128183364868,0.006479090079665184,0.004123162943869829,0.0036684852093458176,0.0024142900947481394,0.002355927135795355,0.0028106048703193665,0.004064800217747688,-0.001101731788367033,-0.11934685707092285,0.003322328163112,0.004342500929472439,0.007664829092584436,0.002026994781157758,0.0022011898124597424,0.0014865872632644382,-0.0027415973303530623,3,3,2
Grocery,42,12345,5599,5932,40254,7,7,6,23,0.08512565493583679,2,True,0.9625726342201233,0.968839168548584,0.9150619506835938,0.05420750007033348,0.05299830809235573,0.039229847490787506,0.038145724684000015,0.0012091919779777527,0.014977652579545975,0.016061775386333466,-0.00012506917119026184,-0.003878278424963355,0.0013045948038461499,0.01787757815705327,0.019182172960899427,0.0012081006125612183,0.014581064396070455,0.01565255218614202,-0.00013661282248965574,3,3,3
Grocery,42,12345,1914,1912,8092,1,1,1,5,0.4472135901451111,0,True,0.4412831962108612,0.9054153561592102,0.8889867663383484,0.9016807675361633,0.3428441286087036,1.8673577308654785,0.8180686831474304,0.5588366389274597,-0.9656769633293152,0.08361208438873291,0.4904524087905884,0.30498388409614563,0.7954378742315017,-0.5331443810678037,0.2622934931636979,0.540150240449128,-0.8880287093571146,0.040547073773870956,0.38842554268185764,1,1,1
Grocery,42,12345,12143,10855,89683,13,13,83,16,0.02744106575846672,3,True,0.9999995231628418,0.9385424852371216,0.7873438000679016,5.960462772236497e-07,5.960462772236497e-07,5.960462772236497e-07,4.768370445162873e-07,0.0,0.0,1.1920923270736239e-07,1.1920923270736239e-07,0.9226061701774597,2.0593642628460056e-08,1.2856821286320693e-07,1.4916185549166697e-07,2.021890474574738e-08,1.1667991015443078e-07,1.3315107433504606e-07,-3.747740565132109e-09,3,3,3
