epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,3.139321,3.017491,0.121829,0.046686,0.329334,0.024774,0.001000,30,0.815620,0.000068,0.351721,0.184380,-0.048680,3.319829,4.431358,4.255852,0.005333,0.006311
2,2.598605,2.485060,0.113545,0.329301,0.329334,0.024791,0.001000,30,0.546492,0.000037,0.342048,0.453508,-0.051588,4.158554,4.936952,5.288284,0.003722,0.004859
3,2.501108,2.393909,0.107198,0.313006,0.329334,0.024774,0.001000,29,0.420283,0.000027,0.329307,0.579717,-0.081411,4.639236,5.272488,5.545225,0.002905,0.004255
4,2.396460,2.303084,0.093376,0.329701,0.329334,0.024774,0.001000,28,0.361733,0.000027,0.287137,0.638267,-0.098153,4.826066,5.474657,5.582106,0.002578,0.004515
5,2.366707,2.290026,0.076681,0.329301,0.329334,0.024774,0.001000,27,0.305824,0.000041,0.235213,0.694176,-0.106886,4.992972,5.620299,5.528068,0.002559,0.005839
6,2.325800,2.264299,0.061501,0.329701,0.361128,0.051921,0.001000,26,0.263516,0.000080,0.187434,0.736484,-0.118050,5.145091,5.735881,5.387961,0.002731,0.008546
7,2.273075,2.221863,0.051212,0.354394,0.392022,0.064813,0.001000,30,0.244141,0.000190,0.154423,0.755859,-0.126538,5.237222,5.800265,5.172784,0.003197,0.013425
8,2.220112,2.173657,0.046455,0.389983,0.388422,0.062761,0.001000,30,0.252379,0.000445,0.138011,0.747621,-0.118457,5.241298,5.794671,4.950109,0.003855,0.020740
9,2.172125,2.127344,0.044781,0.388883,0.389022,0.062943,0.001000,29,0.291178,0.000865,0.129828,0.708822,-0.081421,5.147227,5.717522,4.887136,0.004826,0.029014
10,2.128464,2.084463,0.044001,0.390783,0.390222,0.063248,0.001000,28,0.346033,0.001366,0.123556,0.653967,-0.042489,4.995292,5.570625,4.936864,0.006040,0.036457
11,2.093506,2.050197,0.043310,0.391283,0.392621,0.068251,0.001000,27,0.394709,0.001785,0.117992,0.605291,-0.017945,4.842749,5.381717,4.925136,0.007527,0.041570
12,2.055678,2.013092,0.042586,0.396281,0.419016,0.099181,0.001000,30,0.424203,0.002008,0.113605,0.575797,-0.003715,4.712204,5.187889,4.839180,0.009377,0.043819
13,2.029400,1.987630,0.041770,0.417675,0.424415,0.097901,0.001000,30,0.433665,0.002077,0.110252,0.566335,0.010324,4.625189,5.028594,4.763132,0.011148,0.044185
14,1.988348,1.948461,0.039887,0.424273,0.427714,0.101082,0.001000,30,0.414229,0.001993,0.105274,0.585771,0.013630,4.667418,4.937835,4.787045,0.012462,0.042871
15,1.956106,1.917965,0.038142,0.430371,0.423215,0.109645,0.001000,30,0.398413,0.002071,0.100509,0.601587,0.022322,4.689686,4.832099,4.755952,0.013582,0.043437
16,1.932126,1.895667,0.036459,0.431770,0.444211,0.120818,0.001000,29,0.391403,0.002275,0.095360,0.608597,0.029261,4.681149,4.715000,4.733017,0.015084,0.045247
17,1.901689,1.866596,0.035093,0.445866,0.447810,0.130642,0.001000,30,0.386547,0.002182,0.091136,0.613453,0.024798,4.686990,4.652004,4.765332,0.016374,0.043752
18,1.868070,1.834743,0.033327,0.453164,0.443911,0.125689,0.001000,30,0.376711,0.002259,0.085901,0.623289,0.039991,4.689510,4.581539,4.759751,0.017391,0.044238
19,1.836133,1.804012,0.032122,0.458462,0.450510,0.122224,0.001000,29,0.368991,0.002304,0.082396,0.631009,0.059246,4.694365,4.523069,4.789195,0.018556,0.044269
