class_id,support,diag_id_s42,diag_id_s43,diag_id_s44,static_cross_dup_s42,static_cross_dup_s43,static_cross_dup_s44,static_cross_s42,static_cross_s43,static_cross_s44,conditional_cross_dup_s42,conditional_cross_dup_s43,conditional_cross_dup_s44,conditional_cross_s42,conditional_cross_s43,conditional_cross_s44
0,,0.4583333333333333,0.43923865300146414,0.43434343434343436,0.45103857566765576,0.4259818731117825,0.4647887323943662,0.4587706146926537,0.44155844155844154,0.46417445482866043,0.4327666151468315,0.45664739884393063,0.4699300699300699,0.48348745046235136,0.4357034795763994,0.41535776614310643
1,,0.6513911620294599,0.6442622950819672,0.6442838929026774,0.6472898664571878,0.6666666666666666,0.6384391863843919,0.6465135026199114,0.6526946107784432,0.6506876227897839,0.6493604213694507,0.6597609561752988,0.629867351305092,0.641014799154334,0.6555469356089992,0.645694062131341
2,,0.45517241379310347,0.43466666666666665,0.41875,0.4333821376281113,0.37920489296636084,0.4238975817923186,0.362657091561939,0.4182076813655761,0.4052718286655684,0.42022116903633494,0.38310708898944196,0.43671766342141866,0.4241486068111455,0.4154727793696275,0.42547033285094066
3,,0.7838312829525483,0.8362369337979094,0.8154657293497364,0.7627737226277372,0.8175438596491228,0.8315789473684211,0.78125,0.8306010928961749,0.8318264014466547,0.7931623931623931,0.8345070422535211,0.8198529411764706,0.7800687285223368,0.8293515358361775,0.8370497427101201
4,,0.45,0.36363636363636365,0.5454545454545454,0.6818181818181818,0.34285714285714286,0.5,0.6222222222222222,0.4,0.44,0.5945945945945946,0.24242424242424243,0.40816326530612246,0.6666666666666666,0.24242424242424243,0.47619047619047616
5,,0.24778761061946902,0.29850746268656714,0.34355828220858897,0.3111111111111111,0.24390243902439024,0.3088235294117647,0.2900763358778626,0.31746031746031744,0.37142857142857144,0.2644628099173554,0.24060150375939848,0.34177215189873417,0.30656934306569344,0.224,0.2992125984251969
6,,0.3888888888888889,0.33816425120772947,0.4420289855072464,0.4372093023255814,0.31390134529147984,0.3900414937759336,0.411522633744856,0.3821138211382114,0.44574780058651026,0.36893203883495146,0.3300970873786408,0.30857142857142855,0.328042328042328,0.31683168316831684,0.3333333333333333
7,,0.3688760806916426,0.4296675191815857,0.4444444444444444,0.3888888888888889,0.4,0.42105263157894735,0.376657824933687,0.47173489278752434,0.3772455089820359,0.390625,0.4238095238095238,0.47702407002188185,0.40669856459330145,0.3547400611620795,0.42424242424242425
8,,0.5,0.5454545454545454,0.6181818181818182,0.5,0.5490196078431373,0.5925925925925926,0.47058823529411764,0.6129032258064516,0.5517241379310345,0.5925925925925926,0.5614035087719298,0.5,0.5806451612903226,0.5964912280701754,0.5
9,,0.09302325581395349,0.046511627906976744,0.23076923076923078,0.23076923076923078,0.0,0.09090909090909091,0.2127659574468085,0.0,0.08,0.05128205128205128,0.09523809523809523,0.09302325581395349,0.2127659574468085,0.09090909090909091,0.1
10,,0.5958132045088567,0.5849387040280211,0.6285714285714286,0.616695059625213,0.5986394557823129,0.6096256684491979,0.6011904761904762,0.5963149078726968,0.5875706214689266,0.58603066439523,0.5966666666666667,0.6189624329159212,0.6123778501628665,0.5815126050420169,0.5910543130990416
11,,0.36879432624113473,0.3835616438356164,0.45390070921985815,0.36220472440944884,0.423841059602649,0.41830065359477125,0.41509433962264153,0.455026455026455,0.38848920863309355,0.359375,0.43209876543209874,0.4266666666666667,0.40522875816993464,0.3795620437956204,0.4
12,,0.7272727272727273,0.6363636363636364,0.6,0.76,0.68,0.6666666666666666,0.75,0.6222222222222222,0.6521739130434783,0.7555555555555555,0.5581395348837209,0.7058823529411765,0.7111111111111111,0.5238095238095238,0.6818181818181818
13,,0.5714285714285714,0.5454545454545454,0.6265060240963856,0.5909090909090909,0.5833333333333334,0.6373626373626373,0.5652173913043478,0.5825242718446602,0.6206896551724138,0.5609756097560976,0.5333333333333333,0.6593406593406593,0.5977011494252874,0.5777777777777777,0.6739130434782609
14,,0.41379310344827586,0.5319148936170213,0.4791666666666667,0.35714285714285715,0.5319148936170213,0.4807692307692308,0.4406779661016949,0.5116279069767442,0.4444444444444444,0.5348837209302325,0.46808510638297873,0.42201834862385323,0.4444444444444444,0.4954128440366973,0.4752475247524752
15,,0.26865671641791045,0.3950617283950617,0.3917525773195876,0.3655913978494624,0.38636363636363635,0.3711340206185567,0.3855421686746988,0.4421052631578947,0.4222222222222222,0.3013698630136986,0.37333333333333335,0.39080459770114945,0.34210526315789475,0.4444444444444444,0.32967032967032966
16,,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0
17,,0.4140127388535032,0.3391304347826087,0.40892193308550184,0.37962962962962965,0.39669421487603307,0.4,0.3188405797101449,0.3783783783783784,0.3937007874015748,0.33962264150943394,0.3036649214659686,0.42962962962962964,0.4175824175824176,0.30985915492957744,0.4148148148148148
18,,0.43243243243243246,0.631578947368421,0.5531914893617021,0.5,0.3125,0.4444444444444444,0.36363636363636365,0.6153846153846154,0.4888888888888889,0.35714285714285715,0.36363636363636365,0.46808510638297873,0.3225806451612903,0.6153846153846154,0.43902439024390244
19,,0.3,0.23529411764705882,0.4827586206896552,0.11764705882352941,0.0,0.2222222222222222,0.3333333333333333,0.4,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.38095238095238093,0.42105263157894735,0.42105263157894735,0.125
