shuffle_seed,acc,macro_f1,balanced_acc
1000,0.5515896677970886,0.4563815961737407,0.42604015635266207
1001,0.5512897372245789,0.4562900465416175,0.4259495904765173
1002,0.5506898760795593,0.4544025521609135,0.4237254120727615
1003,0.5509898066520691,0.4566181696976687,0.4259040531358981
1004,0.5512897372245789,0.45603534677687635,0.42577784964903886
1005,0.5506898760795593,0.4553492730662657,0.42586356225673877
1006,0.5515896677970886,0.456156488213879,0.42599512781713667
1007,0.5506898760795593,0.4554591840147422,0.4254942170703243
1008,0.5509898066520691,0.4560596928536459,0.42507831858675926
1009,0.5512897372245789,0.4553635392516536,0.42568564594282615
1010,0.5506898760795593,0.4546459720734882,0.4237285160963521
1011,0.5509898066520691,0.45624882027861835,0.4259993608657012
1012,0.5509898066520691,0.4560956662236128,0.4257114952384221
1013,0.5515896677970886,0.4558679277105783,0.425902924110924
1014,0.5515896677970886,0.45663124849492387,0.42628299344441584
1015,0.5512897372245789,0.45577805648746184,0.4259923548448478
1016,0.5509898066520691,0.45526817587915247,0.4255428584345341
1017,0.5506898760795593,0.4565126025446786,0.4256659578978028
1018,0.5512897372245789,0.4561588897251837,0.4261421483739933
1019,0.5506898760795593,0.45460325710889943,0.42484526981012405
