epoch,train_total_loss,train_ce_loss,train_aux_loss,train_acc,val_acc,val_macro_f1,lr,patience_left,common_loss,orth_loss,recon_loss,common_sim,private_sim,c_norm,pt_norm,pv_norm,cp_overlap_t,cp_overlap_v
1,3.178951,3.061564,0.117388,0.026392,0.329334,0.024774,0.001000,30,0.754018,0.000064,0.341022,0.245982,0.151426,3.157735,4.427861,4.717122,0.005109,0.006119
2,2.616213,2.504873,0.111340,0.329301,0.325735,0.031389,0.001000,30,0.599089,0.000036,0.331194,0.400911,0.076389,3.674881,5.098574,5.377089,0.003865,0.004547
3,2.527905,2.421850,0.106055,0.275017,0.329334,0.024774,0.001000,29,0.481560,0.000023,0.321410,0.518440,0.061854,4.062541,5.520957,5.422765,0.002947,0.003747
4,2.419502,2.324889,0.094613,0.329601,0.329334,0.024774,0.001000,28,0.402634,0.000021,0.288533,0.597366,0.074111,4.338447,5.727123,5.404401,0.002571,0.003743
5,2.394994,2.316474,0.078521,0.329301,0.329334,0.024774,0.001000,27,0.340388,0.000028,0.239043,0.659612,0.077125,4.541623,5.843999,5.381044,0.002449,0.004673
6,2.352218,2.290292,0.061925,0.329301,0.329334,0.024774,0.001000,26,0.302682,0.000051,0.186238,0.697318,0.073546,4.677866,5.928457,5.343701,0.002539,0.006675
7,2.300195,2.250482,0.049712,0.333700,0.391122,0.064839,0.001000,25,0.291749,0.000115,0.146254,0.708251,0.065286,4.739377,5.988504,5.259263,0.002795,0.010373
8,2.257171,2.213208,0.043962,0.386184,0.392022,0.064062,0.001000,30,0.306673,0.000273,0.126086,0.693327,0.059145,4.711484,5.994936,5.076408,0.003272,0.016199
9,2.202973,2.160783,0.042189,0.391782,0.392022,0.064205,0.001000,30,0.342593,0.000653,0.117770,0.657407,0.058785,4.596307,5.899378,4.821943,0.004068,0.025229
10,2.136492,2.094160,0.042331,0.394782,0.392621,0.064988,0.001000,29,0.401109,0.001310,0.114320,0.598891,0.057423,4.423687,5.681887,4.679271,0.005288,0.035811
11,2.096220,2.052431,0.043789,0.394382,0.419616,0.086746,0.001000,30,0.481536,0.001838,0.113799,0.518464,0.047174,4.184214,5.335948,4.682925,0.006851,0.042322
