contrast,left,right,seed,delta_acc_pp,delta_f1_pp,delta_balacc_pp
CC_minus_CD,conditional_cross,conditional_cross_dup,42,0.0,2.3172874536551538,3.6768550943522826
CC_minus_CD,conditional_cross,conditional_cross_dup,43,-0.089982003599276,1.601994354062547,1.3695001573632126
CC_minus_CD,conditional_cross,conditional_cross_dup,44,0.3299340131973527,-2.0008551934782237,-3.311414067465035
CC_minus_CD,conditional_cross,conditional_cross_dup,mean,0.0799840031993589,0.6394755380798256,0.5783137280834866
CC_minus_CD,conditional_cross,conditional_cross_dup,std,0.18051859713324633,1.889695007770407,2.907284923992261
CC_minus_SD,conditional_cross,static_cross_dup,42,-0.11997600479903836,1.2782279331055524,0.3244492507773422
CC_minus_SD,conditional_cross,static_cross_dup,43,-0.20995800839831436,2.289611279696296,0.8609605399620635
CC_minus_SD,conditional_cross,static_cross_dup,44,0.11997600479903836,-1.6277799821580452,-2.583518208792812
CC_minus_SD,conditional_cross,static_cross_dup,mean,-0.06998600279943812,0.646686410214601,-0.46603613935113547
CC_minus_SD,conditional_cross,static_cross_dup,std,0.13925603156552505,1.6604461440558185,1.5132214701668572
CC_minus_SC,conditional_cross,static_cross,42,0.5698860227954405,1.7159469266813443,-0.04132750111979222
CC_minus_SC,conditional_cross,static_cross,43,-0.6598680263947165,-3.102857138652393,-4.96657857295022
CC_minus_SC,conditional_cross,static_cross,44,-0.11997600479903836,-0.7015192257051328,-2.0043314962697956
CC_minus_SC,conditional_cross,static_cross,mean,-0.06998600279943812,-0.6961431458920604,-2.3374125234466026
CC_minus_SC,conditional_cross,static_cross,std,0.5032878603740519,1.9672721946381924,2.0244722370930095
SC_minus_SD,static_cross,static_cross_dup,42,-0.6898620275944789,-0.4377189935757919,0.36577675189713443
SC_minus_SD,static_cross,static_cross_dup,43,0.4499100179964022,5.392468418348689,5.827539112912284
SC_minus_SD,static_cross,static_cross_dup,44,0.23995200959807672,-0.9262607564529124,-0.5791867125230166
SC_minus_SD,static_cross,static_cross_dup,mean,0.0,1.3428295561066619,1.8713763840954671
SC_minus_SD,static_cross,static_cross_dup,std,0.4952795871426037,2.870464474546985,2.8239047009335287
CC_minus_DIAG,conditional_cross,diag_id,42,0.089982003599276,3.044782611480823,3.330133232050081
CC_minus_DIAG,conditional_cross,diag_id,43,0.05998800239952473,-0.746791465947183,-1.1347147138425329
CC_minus_DIAG,conditional_cross,diag_id,44,-0.29994001199760145,-4.874782391342808,-6.589389077373697
CC_minus_DIAG,conditional_cross,diag_id,mean,-0.04999000199960024,-0.8589304152697226,-1.4646568530553832
CC_minus_DIAG,conditional_cross,diag_id,std,0.17716501846300123,3.2341210878643762,4.0563429402365445
