intervention,acc,macro_f1,balanced_acc,delta_acc_pp,delta_f1_pp,delta_balacc_pp,note
ORIGINAL,0.5512897372245789,0.45748732111520135,0.42789518276301874,0.0,0.0,0.0,checkpoint router
PAIR_CONSTANT,0.5509898066520691,0.4562130296732736,0.4259040531358981,-0.029993057250976562,-0.1274291441927755,-0.1991129627120669,
TARGET_NODE,0.5518895983695984,0.45785098284887366,0.4282118052289453,0.059986114501953125,0.03636617336723047,0.03166224659265637,
TARGET_CONSTANT,0.5512897372245789,0.4559720258048519,0.4259923548448478,0.0,-0.15152953103494404,-0.1902827918170924,
SOURCE_SWAP,0.5521895885467529,0.4579937339354373,0.4284929865646966,0.08998513221740723,0.050641282023594636,0.05978038016778431,
ALL_ON,0.5476904511451721,0.46349084447523525,0.4450527134923023,-0.35992860794067383,0.6003523360033902,1.7157530729283554,
ALL_NULL,0.5494900941848755,0.4175813527445351,0.38310283810932466,-0.17996430397033691,-3.990596837066623,-4.479234465369409,
NODE_SHUFFLE_MEAN,0.5510947823524475,0.45579632526388,0.425566390623889,-0.019495487213139207,-0.16909958513213752,-0.23287921391297317,20 seeds 1000-1019; acc_std=0.033pp f1_std=0.066pp balacc_std=0.070pp
